ㅎ,SAMPLE_ID,식품명,식품명(크롤링),식품명(다시 크롤링),식품명(영어),식품명(영어-정제),제조사,제조사(정리),제조사(영어),조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g),"짠맛(나트륨 / 1회 제공량, g)","단맛(총당류 / 1회 제공량, g)",짠맛(상대),단맛(상대),유탕면,건면,숙면,분말 스프,액상 스프,조미유,컵,국물,짜장,cold
1745,P020074-ZZ-AVG,쌀국수 멸치맛,쌀국수 멸치맛,쌀국수 멸치맛,Rice noodles with anchovy flavor,Rice Noodles With Anchovy Flavor,구포국수,구포국수,Gupo Noodels,2019,가공식품,건면,P020074,식약처('19),92,324,-,8,1.3,69,4,1950,0,0,-,0,0.02119565217,0.04347826087,61.67503057,23.91304348,0,1,0,1,0,0,1,1,0,0
1791,P020124-ZZ-AVG,쌀국수 해물맛,쌀국수 해물맛,쌀국수 해물맛,Seafood flavor rice noodles,Seafood Flavor Rice Noodles,구포국수,구포국수,Gupo Noodels,2019,가공식품,건면,P020124,식약처('19),92,324,-,8,1.3,69,4,1950,0,0,-,0,0.02119565217,0.04347826087,61.67503057,23.91304348,0,1,0,1,0,0,1,1,0,0
1792,P020126-ZZ-AVG,쌀국수 얼큰한맛,쌀국수 얼큰한맛,쌀국수 얼큰한맛,Spicy flavor rice noodles,Spicy Flavor Rice Noodles,구포국수,구포국수,Gupo Noodels,2019,가공식품,건면,P020126,식약처('19),92,324,-,8,1.3,69,4,1950,0,0,-,0,0.02119565217,0.04347826087,61.67503057,23.91304348,0,1,0,1,0,0,1,1,0,0
1793,P020127-ZZ-AVG,쌀국수 김치맛,쌀국수 김치맛,쌀국수 김치맛,Kimchi flavor rice noodles,Kimchi Flavor Rice Noodles,구포국수,구포국수,Gupo Noodels,2019,가공식품,건면,P020127,식약처('19),92,324,-,8,1.3,69,4,1950,0,0,-,0,0.02119565217,0.04347826087,61.67503057,23.91304348,0,1,0,1,0,0,1,1,0,0
1805,P020140-ZZ-AVG,드레싱누들 오리엔탈소스맛,드레싱누들 오리엔탈소스맛,드레싱누들 오리엔탈소스맛,Noodle Oriental taste sauce dressing,Noodle Oriental Taste Sauce Dressing,농심,농심,NongShim,2019,가공식품,건면,P020140,식약처('19),118,385,-,9,6,74,19,1060,0,1,-,0,0.008983050847,0.1610169492,26.13884825,88.55932203,1,0,0,1,0,0,1,1,0,0
338,P035519-ZZ-AVG,냉라면,농심 냉라면,농심 냉라면,Cold ramen,Cold Ramen,농심,농심,NongShim,2020,가공식품,유탕면,P035519,식약처('20),164,620,-,12,18,103,22,1790,0,9,-,0,0.01091463415,0.1341463415,31.75936221,73.7804878,1,0,0,1,0,0,1,1,0,0
51,P065216-ZZ-AVG,양념치킨큰사발면,양념치킨큰사발면,양념치킨사발면,Seasoned spicy chicken Big instant cup ramen,Seasoned Spicy Chicken Big Instant Cup Ramen,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065216,식약처('21),122,500,-,9,19,73,16,1120,0,7,-,0,0.009180327869,0.131147541,26.7128842,72.13114754,1,0,0,1,0,0,0,1,0,0
581,P042196-ZZ-AVG,마늘면볶이,마늘면볶이,마늘면볶이,garlic noodles bokki,Garlic Noodles Bokki,농심,농심,NongShim,2020,가공식품,유탕면,P042196,식약처('20),111,460,-,7,14,76,14,1120,0,7,-,0,0.01009009009,0.1261261261,29.36010695,69.36936937,1,0,0,1,0,0,1,1,0,0
2304,P023721-ZZ-AVG,양념치킨면,양념치킨면,양념치킨면,Seasoned spicy chicken noodles,Seasoned Spicy Chicken Noodles,농심,농심,NongShim,2019,가공식품,유탕면,P023721,식약처('19),150,620,-,12,24,89,18,1250,0,9,-,0,0.008333333333,0.12,24.24830262,66,1,0,0,1,0,0,0,1,0,0
2199,P023614-ZZ-AVG,찰비빔면,찰비빔면,찰비빔면,Chal bibimmyeon,Chal Bibimmyeon,농심,농심,NongShim,2019,가공식품,유탕면,P023614,식약처('19),130,555,-,9,22,80,15,1060,0,10,-,0,0.008153846154,0.1153846154,23.72603149,63.46153846,1,0,0,1,0,0,1,1,0,0
1774,P020106-ZZ-AVG,농심 스파게티 까르보나라,스파게티 까르보나라,농심 까르보나라,Nongshim spaghetti carbonara,Nongshim Spaghetti Carbonara,농심,농심,NongShim,2019,가공식품,건면,P020106,식약처('19),106,390,-,13,4,76,12,860,35,1.6,-,0,0.008113207547,0.1132075472,23.60778142,62.26415094,1,0,0,1,0,0,1,1,0,0
392,P038245-ZZ-AVG,칼빔면,칼빔면,칼빔면,Kal bimmyeon,Kal Bimmyeon,농심,농심,NongShim,2020,가공식품,유탕면,P038245,식약처('20),144,595,-,9,21,92,15,1400,3,9,-,0,0.009722222222,0.1041666667,28.28968639,57.29166667,0,1,0,1,0,0,1,1,0,0
1743,P020072-ZZ-AVG,농심 스파게티 tomato,스파게티 tomato,스파게티 tomato,Nongshim spaghetti tomato,Nongshim Spaghetti Tomato,농심,농심,NongShim,2019,가공식품,건면,P020072,식약처('19),100,370,-,12,4,71,9,1010,0,1,-,0,0.0101,0.09,29.38894277,49.5,1,0,0,1,0,1,1,0,1,0
53,P065218-ZZ-AVG,오징어짬뽕큰사발면,오징어짬뽕,오징어짬뽕,Big Instant cup ramen squid Jjambbong,Big Instant Cup Ramen Squid Jjambbong,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065218,식약처('21),115,525,-,9,19,79,10,1590,18,10,-,0,0.01382608696,0.08695652174,40.23109687,47.82608696,1,0,0,1,0,0,0,1,0,0
60,P065225-ZZ-AVG,짜파게티범벅,짜파게티범벅,짜파게티범벅,jjapageti beombeok ,Jjapageti Beombeok ,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065225,식약처('21),70,315,-,6,10,50,6,850,3,4.6,-,0,0.01214285714,0.08571428571,35.33324096,47.14285714,0,0,1,0,1,0,0,0,0,0
58,P065223-ZZ-AVG,짜왕큰사발면,짜왕큰사발면,짜왕 컵라면,Jjawangkeun instant cup ramen,Jjawangkeun Instant Cup Ramen,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065223,식약처('21),105,495,-,9,19,72,9,990,0,8,-,0,0.009428571429,0.08571428571,27.43522239,47.14285714,0,0,1,0,1,0,0,0,0,0
50,P065215-ZZ-AVG,앵그리짜파구리큰사발면,앵그리짜파구리,앵그리짜파구리,Angry Jjapaguri big instant cup ramen,Angry Jjapaguri Big Instant Cup Ramen,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065215,식약처('21),108,500,-,8,19,74,9,1230,3,8,-,0,0.01138888889,0.08333333333,33.13934691,45.83333333,1,0,0,1,0,1,0,0,1,0
1708,P020033-ZZ-AVG,메밀소바,메밀소바,메밀소바,Buckwheat soba,Buckwheat Soba,농심,농심,NongShim,2019,가공식품,건면,P020033,식약처('19),127,385,-,10,0.7,85,10,1610,0,0,-,0,0.01267716535,0.07874015748,36.88796902,43.30708661,1,0,0,1,0,0,1,1,0,0
67,P065232-ZZ-AVG,해물안성탕면컵,해물안성탕면컵,해물안성탕면컵,Seafood Anseongtangmyeon Cup,Seafood Anseongtangmyeon Cup,(주)농심,농심,NongShim,2021,가공식품,유탕면,P065232,식약처('21),66,290,-,5,11,43,5,1250,0,6,-,0,0.01893939394,0.07575757576,55.10977868,41.66666667,1,0,0,1,0,0,0,1,0,0
