id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1471099034991759366,1471099034991759366,2021-12-15 21:45:16 대한민국 표준시,2021-12-15,21:45:16,+0900,780087315800600577,dazzlegem_art,다즐 잼 (현생 사는중),,오우 꽃게탕면 살짝 끓여서 4분의 1만 먹어봤는데 같이 끓인 국물이 넘 짜서 냄김...😂,ko,[],[],[],0,0,1,[],[],https://twitter.com/dazzlegem_art/status/1471099034991759366,False,,0,,,,,,,,[],,,,
1460838699319513091,1460838699319513091,2021-11-17 14:14:21 대한민국 표준시,2021-11-17,14:14:21,+0900,1007504425814855680,d__b__n,음식일기🐈,,월요일에 먹은 것들. 점심은 너구리랑 꽃게탕면 섞어서 만들어봄. 맛있었음ㅎㅎ 근데 평소에 2인분 안 끓여봐서 국물이 너무 없었던… 저녁은 아웃뱃 같음. 웨이팅도 있더라 아웃백 왜 인기 있어졌는지 궁금했는데 음식이 다 맛있어졌더라 개존맛탱구리. 야식은 초코 고래밥.  https://t.co/Rilke3QUoF,ko,[],[],"['https://pbs.twimg.com/media/FEXxC60akAAId6v.jpg', 'https://pbs.twimg.com/media/FEXxC7IaIAAuaQB.jpg', 'https://pbs.twimg.com/media/FEXxC6yaUAAL0D6.jpg']",1,0,7,[],[],https://twitter.com/d__b__n/status/1460838699319513091,False,,1,https://pbs.twimg.com/media/FEXxC60akAAId6v.jpg,,,,,,,[],,,,
1448497534297468932,1448497534297468932,2021-10-14 12:54:58 대한민국 표준시,2021-10-14,12:54:58,+0900,1007504425814855680,d__b__n,음식일기🐈,,"수요일에 먹은 것들. 점심은 꽃게탕면으로 볶음 라면이랑 남은 뿌링치즈볼 2개. 저녁은 미니 허니버터칩, 현미 가래떡 2개, 삶은 계란, 남은 맛초킹 1조각.  https://t.co/iwjd0qoWJq",ko,[],[],"['https://pbs.twimg.com/media/FBoY0wdVcAYp2i3.jpg', 'https://pbs.twimg.com/media/FBoY0wgVQAAHKjQ.jpg', 'https://pbs.twimg.com/media/FBoY0wcVkAYmGNc.jpg', 'https://pbs.twimg.com/media/FBoY0wkVIAAwmkQ.jpg']",0,0,11,[],[],https://twitter.com/d__b__n/status/1448497534297468932,False,,1,https://pbs.twimg.com/media/FBoY0wdVcAYp2i3.jpg,,,,,,,[],,,,
1443526902912749573,1443507327479386113,2021-09-30 19:43:27 대한민국 표준시,2021-09-30,19:43:27,+0900,1341349714277462018,lime_221,dus221,,@mokryun_ 꽃게탕면/아이스크림,ko,[],[],[],0,0,0,[],[],https://twitter.com/lime_221/status/1443526902912749573,False,,0,,,,,,,,[],,,,
1437769250999996419,1437769250999996419,2021-09-14 22:24:36 대한민국 표준시,2021-09-14,22:24:36,+0900,1431147222704345089,cherrie_diet,체리,,삼?사주만에 라면 먹어버렷다.. 물론 그나마 칼로리가 360정도인 꽃게탕면이긴 한데 나트륨 오바라서.. 집가서 계단 오르구 사이클 타자😭😭,ko,[],[],[],0,0,3,[],[],https://twitter.com/cherrie_diet/status/1437769250999996419,False,,0,,,,,,,,[],,,,
1421857162884644864,1421725469150355457,2021-08-02 00:35:39 대한민국 표준시,2021-08-02,00:35:39,+0900,1397118392646082560,lochelliida,slow 로챌,,51. 생면식감 꽃게탕면,ko,[],[],[],1,0,0,[],[],https://twitter.com/lochelliida/status/1421857162884644864,False,,0,,,,,,,,[],,,,
1414835481481678862,1414835481481678862,2021-07-13 15:33:59 대한민국 표준시,2021-07-13,15:33:59,+0900,1383715072841682947,ekfrhfo,달고래,,저 풀무원에서 나온 꽃게탕면 닭육수에다가 해먹는게 그케 맛있던 것 같아요... 그그근데...단식 하신지 얼마 안 됐으니까 진짜 자극적일 것 같고...팔도의 해물라면...? 진짜 어떻게 끓여도 어울리는 느낌이에요.,ko,[],[],[],0,0,0,[],[],https://twitter.com/ekfrhfo/status/1414835481481678862,False,,0,,,,,,,,[],,,,
1413551668919103490,1413550256474624001,2021-07-10 02:32:35 대한민국 표준시,2021-07-10,02:32:35,+0900,901139059992543233,whoyoutrust00,상황💜을 믿고 순수하고 건강한 계정,,헐씨 꽃게탕면이 없음 동거인이 먹어벌임..... 그렇다면 정면비빔면이냐 직화짜장이냐.........,ko,[],[],[],1,0,0,[],[],https://twitter.com/whoyoutrust00/status/1413551668919103490,False,,0,,,,,,,,[],,,,
1413550674629984258,1413550256474624001,2021-07-10 02:28:37 대한민국 표준시,2021-07-10,02:28:37,+0900,901139059992543233,whoyoutrust00,상황💜을 믿고 순수하고 건강한 계정,,집에 생면식감 꽃게탕면과 생면식감 직화짜장과 계란과 대파와 기타 여러 채소와 레드와인 1/3병과 샴페인 1병과 캔맥주 세 캔과 스마트TV와 전자담배 두 갑이 있음 불한당을 안 보고 자기에는 너무 유혹적인 환경이다,ko,[],[],[],1,0,0,[],[],https://twitter.com/whoyoutrust00/status/1413550674629984258,False,,0,,,,,,,,[],,,,
1405028636462403590,1405028636462403590,2021-06-16 14:05:05 대한민국 표준시,2021-06-16,14:05:05,+0900,821350769085464576,immyaye,หม่ามี้เอง,,ชั้นอยากให้น้องสมบัติไปรายการนี้บ้างงง อยากเห็นน้องๆได้กินอาหารเยอะๆ555 [ENG] 🍚 EP.12 먹회장님이 엄청난 꽃게찜과 꽃게탕면을 보여주실걸~?! 위아이(WEi)를 위해 열린 가을 제철 꽃게 파티!  https://t.co/vMC9JYnESy via @YouTube,ko,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/nxt4HTiMmZU'],[],0,0,0,[],[],https://twitter.com/immyaye/status/1405028636462403590,False,,0,,,,,,,,[],,,,
1401430289616818177,1401405908240924673,2021-06-06 15:46:33 대한민국 표준시,2021-06-06,15:46:33,+0900,2454125413,rem_daydream,Dream Catcher,,@Febtwthree 꽃게탕면!,ko,[],[],[],0,0,0,[],[],https://twitter.com/rem_daydream/status/1401430289616818177,False,,0,,,,,,,,"[{'screen_name': 'febtwthree', 'name': 'feb.', 'id': '1187956290129055744'}]",,,,
1389617190924550144,1389616697988894720,2021-05-05 01:25:30 대한민국 표준시,2021-05-05,01:25:30,+0900,1302173675152498688,imprettygood_,스,,@Mk47_Mutant 하.. 꽃게탕면 언제 새우탕면으로 바꼇냐…,ko,[],[],[],0,0,0,[],[],https://twitter.com/imprettygood_/status/1389617190924550144,False,,0,,,,,,,,"[{'screen_name': 'mk47_mutant', 'name': 'MK47MUTANT', 'id': '1445382934421147653'}]",,,,
1389616549418311680,1389616425657012225,2021-05-05 01:22:57 대한민국 표준시,2021-05-05,01:22:57,+0900,1302173675152498688,imprettygood_,스,,@dx006tkxkd 하 야발 나도 피방가서 꽃게탕면 쳐먹으면서 겜이라도 해야겟네…,ko,[],[],[],0,0,0,[],[],https://twitter.com/imprettygood_/status/1389616549418311680,False,,0,,,,,,,,"[{'screen_name': 'dx006tkxkd', 'name': '🙄', 'id': '1351789222835879938'}]",,,,
1386654990937190402,1386654990937190402,2021-04-26 21:14:47 대한민국 표준시,2021-04-26,21:14:47,+0900,1328454664635916289,lunavy_,Lunavy,,꽃게랑 맛 같기도 하고 그냥 오뚜기 꽃게탕면같기도 하고 꽃게 그려진 미니오뎅 들어있음 게맛살 미량 들어있음←파랑 분간 안감 세기말 병맛감성은 건재하다  https://t.co/iwewpnVqbo,ko,[],[],['https://pbs.twimg.com/media/Ez5jW6sVoAUbIr6.jpg'],0,0,1,[],[],https://twitter.com/Lunavy_/status/1386654990937190402,False,,1,https://pbs.twimg.com/media/Ez5jW6sVoAUbIr6.jpg,,,,,,,[],,,,
1385643467972382720,1385643467972382720,2021-04-24 02:15:21 대한민국 표준시,2021-04-24,02:15:21,+0900,22048564,bannymimigipsa,Dr. 옛살나비,,꽃게탕면  https://t.co/19rHKeBUK3,ko,[],[],['https://pbs.twimg.com/media/EzrLY14XEAAQ7gi.jpg'],0,0,1,[],[],https://twitter.com/bannymimigipsa/status/1385643467972382720,False,,1,https://pbs.twimg.com/media/EzrLY14XEAAQ7gi.jpg,,,,,,,[],,,,
1385192585854033921,1385030223171756035,2021-04-22 20:23:42 대한민국 표준시,2021-04-22,20:23:42,+0900,1330565562,shriremo,りお🐶12/21 ICL手術しました,,@asipara プルムウォンの꽃게탕면仕入れて欲しいです🥺  https://t.co/SHCEthK0cd,ja,[],[],['https://pbs.twimg.com/media/EzkxUB4VEAQDVv9.jpg'],1,0,1,[],[],https://twitter.com/shriremo/status/1385192585854033921,False,,1,https://pbs.twimg.com/media/EzkxUB4VEAQDVv9.jpg,,,,,,,"[{'screen_name': 'asipara', 'name': 'アジアン・パラダイス・マーケット', 'id': '170250419'}]",,,,
1382987949357166594,1382987737565843460,2021-04-16 18:23:16 대한민국 표준시,2021-04-16,18:23:16,+0900,307288379,miraclenger,🌸섬유린스リンス🍤🏊Free! FS 韓国上映😭😭😇린쨩 올림픽출전축하해🤗,,풀무원거면 깔끔할거같은데...... 꽃게탕면 잊지못해,ko,[],[],[],1,0,0,[],[],https://twitter.com/miraclenger/status/1382987949357166594,False,,0,,,,,,,,[],,,,
1382950913984192512,1382950913984192512,2021-04-16 15:56:06 대한민국 표준시,2021-04-16,15:56:06,+0900,1308000277870460928,yourmarimo,사나☆,,사골곰탕맛 컵라면은 맛있더라라고 말하며 꽃게랑맛 꽃게탕면 사들고 가는 중,ko,[],[],[],0,0,0,[],[],https://twitter.com/yourmarimo/status/1382950913984192512,False,,0,,,,,,,,[],,,,
1380904508457357312,1380897066952519680,2021-04-11 00:24:25 대한민국 표준시,2021-04-11,00:24:25,+0900,704291299965292544,sa_noyu,𝚂𝙾𝙷𝙰🌿소하🕊✨,,@sikmuloftheday 꽃게탕면 나부랭이는 찐 꽃게라면에 비빌 수 없죠.. (사실 둘 다 안먹어봄🌚) 머글이 먹던 야식 라면은 하나도 탐 안났었는데 식물님 라면은 차단당해도(?) 한입만~ 하고 싶은 비쥬얼이에요..🤤,ko,[],[],[],1,0,1,[],[],https://twitter.com/SA_noyu/status/1380904508457357312,False,,0,,,,,,,,"[{'screen_name': 'sikmuloftheday', 'name': 'SIKMUL', 'id': '1349969552948359169'}]",,,,
1380899316898746369,1380897066952519680,2021-04-11 00:03:47 대한민국 표준시,2021-04-11,00:03:47,+0900,704291299965292544,sa_noyu,𝚂𝙾𝙷𝙰🌿소하🕊✨,,@sikmuloftheday 앜ㅋㅋ 같이사는 머글은 좀 전에 꽃게탕면을 끓여먹던데... 찐이 나타나셨구.. 👍🏻,ko,[],[],[],1,0,1,[],[],https://twitter.com/SA_noyu/status/1380899316898746369,False,,0,,,,,,,,"[{'screen_name': 'sikmuloftheday', 'name': 'SIKMUL', 'id': '1349969552948359169'}]",,,,
1379391378669572097,1379391378669572097,2021-04-06 20:11:47 대한민국 표준시,2021-04-06,20:11:47,+0900,1300745570311499778,lovelessfanclub,재익💙,,#밥머거요  점심 꽃게탕면  https://t.co/pBxRZQsyoS,ko,[],[],['https://pbs.twimg.com/media/EySVI4OUcAIPfFu.jpg'],0,0,5,['밥머거요'],[],https://twitter.com/lovelessfanclub/status/1379391378669572097,False,,1,https://pbs.twimg.com/media/EySVI4OUcAIPfFu.jpg,,,,,,,[],,,,
1379299952573120513,1379299952573120513,2021-04-06 14:08:29 대한민국 표준시,2021-04-06,14:08:29,+0900,1300745570311499778,lovelessfanclub,재익💙,,아짜증나 멸치깔국수 꺼낸다는게 실수로 꽃게탕면 꺼냄,ko,[],[],[],0,0,0,[],[],https://twitter.com/lovelessfanclub/status/1379299952573120513,False,,0,,,,,,,,[],,,,
1378536536979828737,1378536536979828737,2021-04-04 11:34:57 대한민국 표준시,2021-04-04,11:34:57,+0900,2905754802,bus828253,시내버스기사🚌(한화팬🦅)🇰🇷👨‍👩‍👦🇻🇳,,우리부부 점심  나는  소고기쌀국수(고급버전 쌀국수) 와이프는  꽃게탕면(매워하니 정량보다 물 100ml 추가)  https://t.co/4b7bLjzPIy,ko,[],[],['https://pbs.twimg.com/media/EyGLrBMUcAA5zFt.jpg'],1,0,3,[],[],https://twitter.com/bus828253/status/1378536536979828737,False,,1,https://pbs.twimg.com/media/EyGLrBMUcAA5zFt.jpg,,,,,,,[],,,,
1370277423317585920,1370273230250934273,2021-03-12 16:36:10 대한민국 표준시,2021-03-12,16:36:10,+0900,1034497309,jiro_0526,지로로로,,@JinSSSun 그 풀무원 꽃게탕면? 그런종류보다는 저렴한데  가격대비 맛은 괜춘한거 같음   나도 몇묶음 사둠,ko,[],[],[],0,0,0,[],[],https://twitter.com/jiro_0526/status/1370277423317585920,False,,0,,,,,,,,"[{'screen_name': 'JinSSSun', 'name': '김진선', 'id': '1496458214572888064'}]",,,,
1367032800512106499,1367032800512106499,2021-03-03 17:43:12 대한민국 표준시,2021-03-03,17:43:12,+0900,940532923953905666,niru_gom,니루,,꽃게탕면 삿다 후후후후ㅜ,ko,[],[],[],0,0,1,[],[],https://twitter.com/niru_gom/status/1367032800512106499,False,,0,,,,,,,,[],,,,
1366013500192038921,1366011308034854919,2021-02-28 22:12:52 대한민국 표준시,2021-02-28,22:12:52,+0900,816682836073725953,coner5461,코너P (였던것),,@delta_kor 꽃게탕면...,ko,[],[],[],1,0,0,[],[],https://twitter.com/Coner5461/status/1366013500192038921,False,,0,,,,,,,,"[{'screen_name': 'delta_kor', 'name': '⛩ 𝕕𝕖𝕝𝕥𝕒 ⛩', 'id': '966319284174508032'}]",,,,
1365844381933006850,1365842641485619200,2021-02-28 11:00:51 대한민국 표준시,2021-02-28,11:00:51,+0900,1328735131457048578,11_dd_20,리부,,@Iiro0n 꽃게탕면인데  ㅠ  가능? ㅠ (손발벌벌),ko,[],[],[],0,0,0,[],[],https://twitter.com/11_DD_20/status/1365844381933006850,False,,0,,,,,,,,[],,,,
