id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1475868931051368452,1475868931051368452,2021-12-29 01:39:08 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-12-29,01:39:08,+0900,1473369688159977473,junon_hunt,주논,,"1. 8시간동안 잠만잠  2. 사이다,보충제 3. 사이다,핫바 4. 시끌벅적함 5.  회색후드에 트레이닝복 바지 6. 그냥 먹을만한 정도  7. 1번  8. 잠자기 9.맨발 10. 옷 11. 호텔식접기  12. 볶음면 /너구리볶음 13. 운동기구  https://t.co/SPSgyy2y5b",ko,[],[],['https://pbs.twimg.com/media/FHtW-I-akAIiPrz.jpg'],0,0,0,[],[],https://twitter.com/junon_hunt/status/1475868931051368452,False,,1,https://pbs.twimg.com/media/FHtW-I-akAIiPrz.jpg,,,,,,,[],,,,
1475850263026343939,1475850263026343939,2021-12-29 00:24:57 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-12-29,00:24:57,+0900,2504787630,dotori__jelly,⌯' ▾ '⌯ 다람쥐 젤리,,너구리 볶음면 진짜 맛나더라 먼가… 인스턴트맛이긴 한데… 맛남… 짭쪼롬… 아 자꾸 새벽에 먹을 거 얘기하게 되네,ko,[],[],[],0,0,0,[],[],https://twitter.com/Dotori__Jelly/status/1475850263026343939,False,,0,,,,,,,,[],,,,
1475457668060168194,1475457668060168194,2021-12-27 22:24:55 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-12-27,22:24:55,+0900,1377477680153591810,820km,𝙉𝙞𝙣𝙯𝙯𝙖𝙣𝙜,,얘들아 좆됐다... 나 너구리볶음면(에 들어가는 무언가) 에 알러지있나보다 가족이 먹길래 한입 뺏어먹었는데 돌이킬수없게됏다 지난번에도 이런식으로 온몸에 두드러기 난 적 잇엇는데 이제서야 연관성을 찾앗네... 그날도 볶음너구리먹음  씨빨어쨰서이런재앙이,ko,[],[],[],1,0,5,[],[],https://twitter.com/820km/status/1475457668060168194,False,,0,,,,,,,,[],,,,
1473313735523840002,1473313735523840002,2021-12-22 00:25:42 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-12-22,00:25:42,+0900,1380452442760830976,129loversclub,메인트맞알티,,카구리 너구리볶음면 짜파구리 이렇게너구리시리즈로처먹고싶다씨발너뮤배고퍼,ko,[],[],[],0,0,0,[],[],https://twitter.com/129loversclub/status/1473313735523840002,False,,0,,,,,,,,[],,,,
1470050635676815363,1470050635676815363,2021-12-13 00:19:18 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-12-13,00:19:18,+0900,1074561857971662848,hosi_sis,🌠호시🌠,,오늘 면면면 만먹넹... 새벽에 떡볶이 아침에인나서 너구리볶음면 지금 짜장면;;  .... 뼈아플까바 약도머금;; 휴웅...!,ko,[],[],[],0,0,13,[],[],https://twitter.com/hosi_sis/status/1470050635676815363,False,,0,,,,,,,,[],,,,
1462772465193472009,1462772465193472009,2021-11-22 22:18:27 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-22,22:18:27,+0900,1304815709868797952,oohzzarago,숑키돼디라.,,한강라면 좋은디...개짜서 볶음면수준된것보다 훨씬나음 글구 진순이 맛잇음ㅡㅡ 계란너구리는 개에바맞음 나 너구리 사랑하는데 저건진짜아니더라 뜨거운비빔면도...에바임 먹어봣음,ko,[],[],[],0,0,1,[],[],https://twitter.com/oohzzarago/status/1462772465193472009,False,https://twitter.com/bonito0098/status/1462751120133033985,0,,,,,,,,[],,,,
1462349529072619526,1462349529072619526,2021-11-21 18:17:51 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-21,18:17:51,+0900,1451924687877902342,jagijagimonbebe,자기,,신라면 신라면볶음면 너구리반개(왜냐반은이미먹음) 골라주쇼..,ko,[],[],[],0,0,1,[],[],https://twitter.com/jagijagimonbebe/status/1462349529072619526,False,,0,,,,,,,,[],,,,
1459928755686707205,1459882045065207810,2021-11-15 01:58:34 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-15,01:58:34,+0900,1347901057246982144,yellowcotyledon,입실론,,베트남에서강에배위에서먹었던회진짜맛있었는데...다시가고싶음 치즈떡볶이먹고싶어 짜장떡볶이먹고싶어 짜장볶음면먹고싶어 볶음너구리먹고싶어 해물볶음너구리먹고싶어 이상한나라의솜사탕먹고싶어 충무로한옥마을들어가서타코야끼파는차가하나있는데거기맛진해서맛있어 연안식당꼬막비빔밥먹고싶어,ko,[],[],[],1,0,0,[],[],https://twitter.com/Yellowcotyledon/status/1459928755686707205,False,,0,,,,,,,,[],,,,
1458116118774575104,1458116118774575104,2021-11-10 01:55:47 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-10,01:55:47,+0900,1447117763453984771,jeonwi_17,전(─‿─)와,,열받아 호시가 피시방에서 누나 35번 자리에 너구리볶음면 하나랑 숏다리 하나요!!! 하면 옆에서 조용히 깐돌이 하나 줏어서 동전 주섬주섬 내고 갈거같음  https://t.co/JWXLlpw2Th,ko,[],[],['https://pbs.twimg.com/media/FDxE4eSakAEcZJN.jpg'],0,2,3,[],[],https://twitter.com/JeonWi_17/status/1458116118774575104,False,,1,https://pbs.twimg.com/media/FDxE4eSakAEcZJN.jpg,,,,,,,[],,,,
1457395516120068108,1457395516120068108,2021-11-08 02:12:22 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-08,02:12:22,+0900,730077106982420480,nken_k,3p 커미션 할인하는 켄,,볶음면 먹고 싶다 너구리든 신라면이든 틈새든 .. 왠지 불닭은 안 끌림 액체스프 말고 분말스프 넣는 볶음면 먹고 싶음,ko,[],[],[],0,0,0,[],[],https://twitter.com/nken_K/status/1457395516120068108,False,,0,,,,,,,,[],,,,
1457187445636669445,1457187445636669445,2021-11-07 12:25:34 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-07,12:25:34,+0900,1456399917279510528,miyukij_bts,miyuki,,昨日、新大久保でやっと見つけた〜✨辛라면 볶음면 ✨ まだ日本ではあまり売ってないんだ✨辛いかな？✨私あまり볶음면 食べないんだけどwちなみに一番好きなのは틈새라면💜💜💜バンタンが大好きな짜파구리は苦手ですw 너구리は好きだけどw←  https://t.co/L2EaeOvAtT,ja,[],[],['https://pbs.twimg.com/media/FDj4QNZaUAAwc2t.jpg'],1,0,0,[],[],https://twitter.com/miyukij_bts/status/1457187445636669445,False,,1,https://pbs.twimg.com/media/FDj4QNZaUAAwc2t.jpg,,,,,,,[],,,,
1454388697885933568,1454388697885933568,2021-10-30 19:04:21 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-10-30,19:04:21,+0900,1342095532752171010,textile_06,얼빠진섬유,,무슨라면 먹을까 뭐뭐 잇냐면 신라면 안성탕면 신라면볶음면 너구리 있음,ko,[],[],[],1,0,1,[],[],https://twitter.com/textile_06/status/1454388697885933568,False,,0,,,,,,,,[],,,,
1451613503408664576,1451613503408664576,2021-10-23 03:16:43 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-10-23,03:16:43,+0900,1096348379532079104,lsr_04092,🍔사장🍔,,나 너구리는 볶음면박에 안먹으니까 카구리 볶음면으로 만들어오도록해,ko,[],[],[],0,0,1,[],[],https://twitter.com/lsr_04092/status/1451613503408664576,False,,0,,,,,,,,[],,,,
