id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1476198322293678084,1476198322293678084,2021-12-29 23:28:01 대한민국 표준시,2021-12-29,23:28:01,+0900,117734763,te_a21,테아,,"수출용 너구리만 그런가? 순한맛은 너구리가 웃고있고, 매운맛은 웃고 있다ㅋㅋㅋ 너무 귀여워. 가격은 귀엽지 않다. 개당 1,7유로 뭐지? 전엔 90센트 정도로 샀던 기억이 있는데...  https://t.co/y2rg4N7BWI",ko,[],[],['https://pbs.twimg.com/media/FHyCishXEAkDaNC.jpg'],0,0,5,[],[],https://twitter.com/TE_A21/status/1476198322293678084,False,,1,https://pbs.twimg.com/media/FHyCishXEAkDaNC.jpg,,,,,,,[],,,,
1476154861779841032,1476095780100636672,2021-12-29 20:35:19 대한민국 표준시,2021-12-29,20:35:19,+0900,1469634110725701632,l0stlxv3,휘.,,@Wreioop 전혀 아니. 매운 거 잘 못 먹어. 단 게 좋지. 너구리 매운 맛도 나는 어렵더라. 순한 맛도 가끔은 ···. 단 건 좋아해?,ko,[],[],[],1,0,0,[],[],https://twitter.com/L0STLXV3/status/1476154861779841032,False,,0,,,,,,,,"[{'screen_name': 'Wreioop', 'name': '권민혁', 'id': '1454402560001908736'}]",,,,
1476121657081171969,1476117807830278147,2021-12-29 18:23:22 대한민국 표준시,2021-12-29,18:23:22,+0900,1432627159646961666,dul_e22,🧊이코동수이🧊,,@Bgsmuslsy 진순이 마싯지...너구리순한맛도 마싯서요...그치만 저는 열라면파,ko,[],[],[],1,0,0,[],[],https://twitter.com/dul_e22/status/1476121657081171969,False,,0,,,,,,,,"[{'screen_name': 'Bgsmuslsy', 'name': 'slow 어머', 'id': '1449605355709763587'}]",,,,
1476090887533101056,1476090887533101056,2021-12-29 16:21:06 대한민국 표준시,2021-12-29,16:21:06,+0900,2341362811,lim_observer,#SaveUkraine제한적관찰자,,"진순은 바뀌기 전이 좋았음. 바뀌고 나서는 그냥 무난무난하게 적당히 매운 라면(안성탕면 정도)이 되어버림. 그래서 매출은 확실히 늘었으니 기업 입장서야 잘한 선택이지만, 나는 진순을 사먹을 이유가 사라졌다. 좀 안매운 스테디셀러 라면 없나. 너구리 순한 맛도 좋지만 면발이 너무 강렬해서...",ko,[],[],[],1,1,0,[],[],https://twitter.com/Lim_observer/status/1476090887533101056,False,,0,,,,,,,,[],,,,
1476036136120516608,1476036136120516608,2021-12-29 12:43:32 대한민국 표준시,2021-12-29,12:43:32,+0900,1102678152973824000,pacho_nyan,Pacho Jekal,,ㅎ ㅏ 엄마가 점심으로 짜파구리해준댓는데 물도 다 끓여놓고 보니까 너구리순한맛이랑 진라면만 있어서 지금 급하게 사러나가,ko,[],[],[],0,0,0,[],[],https://twitter.com/pacho_nyan/status/1476036136120516608,False,,0,,,,,,,,[],,,,
1475907766980325376,1475907766980325376,2021-12-29 04:13:27 대한민국 표준시,2021-12-29,04:13:27,+0900,1420369158550609921,b_for_be,베 빙기?,,🐜 본격 티엠아이 풀기 ────────────────── 베 님 의 최애 라면은?  https://t.co/luXTOHcwST  크으으 어려운 문제군요 진라면 순한맛...? 삼양라면...? 나가사키 짬뽕면...? 사리곰탕면...? 너구리...? 짜파게티...? 후... 대부분 좋아하는데...,ko,[],['https://gaeyou.com/t/?262245'],[],0,0,0,[],[],https://twitter.com/b_for_be/status/1475907766980325376,False,,0,,,,,,,,[],,,,
1475815352936595472,1475814601908715527,2021-12-28 22:06:14 대한민국 표준시,2021-12-28,22:06:14,+0900,141359502,fewll,헤헤퓰🤟🐻,,@snow00002 진라면 순한맛 조와하는데 너구리는 그냥 머거,ko,[],[],[],1,0,0,[],[],https://twitter.com/Fewll/status/1475815352936595472,False,,0,,,,,,,,"[{'screen_name': 'snow00002', 'name': '🦥프로듀사 간바루', 'id': '933564313'}]",,,,
1475684298179383299,1475522123582291968,2021-12-28 13:25:28 대한민국 표준시,2021-12-28,13:25:28,+0900,1079412951755280390,loona_xden,없덴,,"51. 진라면 순한맛, 너구리",ko,[],[],[],1,0,0,[],[],https://twitter.com/loona_xden/status/1475684298179383299,False,,0,,,,,,,,[],,,,
1474772738120503296,1474772738120503296,2021-12-26 01:03:15 대한민국 표준시,2021-12-26,01:03:15,+0900,1405105674229477382,gwangtak22,광탁 = 广卓(누텔라맛 솜사탕),,헐 너구리 광고 봤더니 너구리 순한맛 먹고싶어짐... .,ko,[],[],[],0,0,0,[],[],https://twitter.com/gwangtak22/status/1474772738120503296,False,,0,,,,,,,,[],,,,
1474647858825805825,1474647858825805825,2021-12-25 16:47:01 대한민국 표준시,2021-12-25,16:47:01,+0900,1634852202,doxk212,애타,,너구리 순한맛 우동같아서 진짜 맛있다,ko,[],[],[],0,0,8,[],[],https://twitter.com/doxk212/status/1474647858825805825,False,,0,,,,,,,,[],,,,
1474637356171141123,1474637356171141123,2021-12-25 16:05:17 대한민국 표준시,2021-12-25,16:05:17,+0900,235884082,akeyarqriser,Akey,,너구리순한맛 애껴요,ko,[],[],[],0,0,0,[],[],https://twitter.com/AkeyArqriser/status/1474637356171141123,False,,0,,,,,,,,[],,,,
1474042386099552256,1474042386099552256,2021-12-24 00:41:05 대한민국 표준시,2021-12-24,00:41:05,+0900,1336852458421665794,jerky64,니쿠욘,,너구리순한맛이땡겨,ko,[],[],[],0,0,0,[],[],https://twitter.com/jerky64/status/1474042386099552256,False,,0,,,,,,,,[],,,,
1474023912069808132,1474023912069808132,2021-12-23 23:27:41 대한민국 표준시,2021-12-23,23:27:41,+0900,1447205802993872902,sonkalguksu,도야지,,편의점에 너구리 매운맛 카구리 짜빠구리 다있는데 순한맛만 없어 난 이거 문제라고 생각해,ko,[],[],[],0,0,1,[],[],https://twitter.com/Sonkalguksu/status/1474023912069808132,False,,0,,,,,,,,[],,,,
1473679480061370371,1473679480061370371,2021-12-23 00:39:02 대한민국 표준시,2021-12-23,00:39:02,+0900,1447571119163199490,hana10150404,하나,,짜왕  스낵면 너구리 미니 컵라면  팔도비빔면  미역국 라면 진라면 순한맛,ko,[],[],[],4,0,2,[],[],https://twitter.com/HANA10150404/status/1473679480061370371,False,,0,,,,,,,,[],,,,
1473613150176301065,1473608943041916934,2021-12-22 20:15:28 대한민국 표준시,2021-12-22,20:15:28,+0900,1220378341871509509,yucha_mmm,유챠💙🌊,,@Sia1102_ @soumabalddakgae   유챠스 콜링 제가 가장 좋아하는 라면은?   1. 까르보 불닭볶음면 2. 짜파구리 3. 진라면 순한맛 4. 너구리 5. 육개장라면,ko,[],[],[],1,0,0,[],[],https://twitter.com/yucha_mmm/status/1473613150176301065,False,,0,,,,,,,,"[{'screen_name': 'Sia1102_', 'name': '사쿠마 시아', 'id': '1423001088681074692'}]",,,,
1472669126741028864,1472656477890375687,2021-12-20 05:44:15 대한민국 표준시,2021-12-20,05:44:15,+0900,1420846620766195712,seanunni,💖션 𝙎𝙀𝘼𝙉🤞,,@GoDapex16 헤헤 전 너구리 매운맛 없길래 순한맛 샀던거 먹었는데  너구리 순한맛도 맛있는거같아유~!!,ko,[],[],[],1,0,0,[],[],https://twitter.com/SEANunni/status/1472669126741028864,False,,0,,,,,,,,"[{'screen_name': 'GoDapex16', 'name': '고딕', 'id': '1355510600957222918'}]",,,,
1471775372471861256,1471775372471861256,2021-12-17 18:32:47 대한민국 표준시,2021-12-17,18:32:47,+0900,1370989968,momhosoon,salut 유키뽕,,"요즘 유행하는 묵은지 들기름 파스타(들기름 없어서 참기름, 베이컨 없어서 비엔나 소세지) 만들어 봤는데, 파스타계의 순한맛 너구리같은 건가? 맛나네…  https://t.co/FmZReizBNh",ko,[],[],['https://pbs.twimg.com/media/FGzL5aLaIAIx_ak.jpg'],0,0,1,[],[],https://twitter.com/momhosoon/status/1471775372471861256,False,,1,https://pbs.twimg.com/media/FGzL5aLaIAIx_ak.jpg,,,,,,,[],,,,
1471760826029977605,1471760826029977605,2021-12-17 17:34:59 대한민국 표준시,2021-12-17,17:34:59,+0900,1384103194205196296,g_lololol_,장르계,,오늘의 야식은~~~ 너구리 순한맛,ko,[],[],[],1,0,0,[],[],https://twitter.com/G_lololol_/status/1471760826029977605,False,,0,,,,,,,,[],,,,
1471641261652463619,1471641261652463619,2021-12-17 09:39:53 대한민국 표준시,2021-12-17,09:39:53,+0900,1468879352230457345,humanlovekill,환생녀,,아니 근데 저거 ㅈㄴ이해안가네 이찬혁 라면 어쩌고 그냥 라면도 아니고 너구리에 라면을 넣고 치즈까지 넣네 너구리 순한맛 만드는건가? 세상에서 제일 맛없는 라면이 너구리 순한맛 진라면 순한맛임,ko,[],[],[],0,0,0,[],[],https://twitter.com/humanlovekill/status/1471641261652463619,False,,0,,,,,,,,[],,,,
1471097424370597888,1471092232333971460,2021-12-15 21:38:52 대한민국 표준시,2021-12-15,21:38:52,+0900,1131096634748620801,ohjjin2,둥둥둥찐⁷•ᴗ•ꕤ 💜🐳🎣🏟🍇🔮,,@btsjk0901gg 앗 맵찔이는 감히 한젓가락 먹고 시도도 못하는😅 엽떡 한 입에 나가떨어진 진라면 너구리 순한맛 스낵면파입니다ㅎㅎ,ko,[],[],[],1,0,1,[],[],https://twitter.com/ohjjin2/status/1471097424370597888,False,,0,,,,,,,,"[{'screen_name': 'btsjk0901gg', 'name': '🏟💃쿠키여기봐 🐰💜', 'id': '956875977300238343'}]",,,,
1471089979212578818,1471016669770547202,2021-12-15 21:09:17 대한민국 표준시,2021-12-15,21:09:17,+0900,96911258,drivenclear_00,Porcelina,,@fiction_jee 강력한 요청에 의해 너구리 순한맛으로 급변경 ㅎㅎ,ko,[],[],[],1,0,2,[],[],https://twitter.com/DrivenClear_00/status/1471089979212578818,False,,0,,,,,,,,"[{'screen_name': 'fiction_jee', 'name': '토토와캐롤', 'id': '111032945'}]",,,,
1471034313768828930,1471034313768828930,2021-12-15 17:28:05 대한민국 표준시,2021-12-15,17:28:05,+0900,1345298584556642305,yukine_chris_bc,유키네 크리스(Another),,오늘 오구리 양의 야식은 너구리 라면일까요?  그것도 5개네요.  5구리 순한맛을 먹는 오구리 양이 되겠군요.  =3  #도망  https://t.co/gjsWI5Wfmf,ko,[],[],['https://pbs.twimg.com/media/FGop6ZSVEAAEdk5.jpg'],2,0,1,['도망'],[],https://twitter.com/Yukine_Chris_BC/status/1471034313768828930,False,,1,https://pbs.twimg.com/media/FGop6ZSVEAAEdk5.jpg,,,,,,,[],,,,
1471023324059029506,1471022910102192128,2021-12-15 16:44:25 대한민국 표준시,2021-12-15,16:44:25,+0900,1168192782386679808,_reng_s2,랭,,@just_sepia 너구리순한맛개먓잇는데아는사람별로없어서아쉬움,ko,[],[],[],0,0,2,[],[],https://twitter.com/_Reng_S2/status/1471023324059029506,False,,0,,,,,,,,"[{'screen_name': 'just_sepia', 'name': '무명님', 'id': '1242820741864632327'}]",,,,
1470801649149300736,1470796411906461696,2021-12-15 02:03:33 대한민국 표준시,2021-12-15,02:03:33,+0900,1449062653062643718,nightlight_on_,ritto,,@19_o_daeng 병팔이의 최애라면은 머야 나는 너구리순한맛,ko,[],[],[],1,0,0,[],[],https://twitter.com/nightlight_on_/status/1470801649149300736,False,,0,,,,,,,,"[{'screen_name': '19_o_daeng', 'name': '장병팔', 'id': '1257594367600017408'}]",,,,
1470768731731148803,1470746115884470272,2021-12-14 23:52:45 대한민국 표준시,2021-12-14,23:52:45,+0900,1377639075910361099,kkot_byul,꽃별ミ✭,,@_Human_0oOo0 ㅋㅋㅋ그니까요! 너구리 순한맛 맛있는데!!!ㅋㅋㅋㅋ 다들 무시해요...😖,ko,[],[],[],1,0,1,[],[],https://twitter.com/kkot_byul/status/1470768731731148803,False,,0,,,,,,,,"[{'screen_name': '_Human_0oOo0', 'name': '휴먼ᕱ⑅ᕱ', 'id': '1168718231848112128'}]",,,,
1470749213814181889,1470746115884470272,2021-12-14 22:35:12 대한민국 표준시,2021-12-14,22:35:12,+0900,1377639075910361099,kkot_byul,꽃별ミ✭,,@0abBDwRAUTVV0wd 우리집엔 진순이와 너구리 순한맛이 있는데 친구가 신라면 사와서 이거 끼려줌... 너무 매워서 죽겄어요 살려줘,ko,[],[],[],1,0,1,[],[],https://twitter.com/kkot_byul/status/1470749213814181889,False,,0,,,,,,,,"[{'screen_name': '0abBDwRAUTVV0wd', 'name': '초보남색가', 'id': '1435415790690324490'}]",,,,
