id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1465634635212210178,1465634635212210178,2021-11-30 19:51:41 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-11-30,19:51:41,+0900,1120607190299975680,plusother1,룰루랄라💜,,고추장에 고춧가루  소세지를 듬뿍 넣어 보글 보글 끓여서 먹자  부대찌개 맛있다  부대찌개송  #PermissiontoDance #BTS,ko,[],[],[],0,0,0,"['permissiontodance', 'bts']",[],https://twitter.com/plusother1/status/1465634635212210178,False,,0,,,,,,,,[],,,,
1412334807434948612,1412334807434948612,2021-07-06 17:57:12 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-07-06,17:57:12,+0900,1557325662,junhochoo,추군의 태양,,새절역  오늘은 보글부대   코다리찜 먹으러 왔지만  주문 불가 ㅠ.ㅠ  부대찌개 2인분 주문  양 대박  맛도 대박  햄.소세지 폭탄에   미나리 토핑 쩔어  장조림 반찬 쵝오  https://t.co/egsQo0Wrwk,ko,[],[],"['https://pbs.twimg.com/media/E5me_oOVkA0rsKJ.jpg', 'https://pbs.twimg.com/media/E5mfAK_VIAUG90z.jpg', 'https://pbs.twimg.com/media/E5mfApXVIAE-Yjs.jpg', 'https://pbs.twimg.com/media/E5mfBHaVkAcce8Y.jpg']",2,1,2,[],[],https://twitter.com/junhochoo/status/1412334807434948612,False,,1,https://pbs.twimg.com/media/E5me_oOVkA0rsKJ.jpg,,,,,,,[],,,,
1405839104944738310,1405839104944738310,2021-06-18 19:45:36 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-06-18,19:45:36,+0900,940217265282150400,jjjinmuk,jjjinmuk,,🥘쟌슨빌 부대찌개🥘 보글보글 짝짝! 지글지글 짝짝! 보글 짝! 지글 짝! 보글지글 짝짝!  노래하고 먹기 / 라면사리 넣기  https://t.co/23jGHyBlvp,ko,[],[],['https://pbs.twimg.com/media/E4KLNA9VIAIU0Pp.jpg'],0,1,0,[],[],https://twitter.com/jjjinmuk/status/1405839104944738310,False,,1,https://pbs.twimg.com/media/E4KLNA9VIAIU0Pp.jpg,,,,,,,[],,,,
1393249722324848641,1393249722324848641,2021-05-15 01:59:53 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2021-05-15,01:59:53,+0900,1169639016179761152,coolsummer606,넌 갈대야 난 나야,,보글 보글 끓인 부대찌개.🤗,ko,[],[],[],0,0,0,[],[],https://twitter.com/coolsummer606/status/1393249722324848641,False,,0,,,,,,,,[],,,,
1299442444279242752,1299442444279242752,2020-08-29 05:23:15 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2020-08-29,05:23:15,+0900,1120607190299975680,plusother1,룰루랄라💜,,고추장에 고춧가루  소세지를 듬뿍 넣어  보글 보글 끓여서 먹자  부대찌개 맛있다  부대찌개송🍚🥄🥢  #KCAMexico #ARMY #BTS   @BTS_twt,ko,"[{'screen_name': 'bts_twt', 'name': '방탄소년단', 'id': '335141638'}]",[],[],0,0,0,"['kcamexico', 'army', 'bts']",[],https://twitter.com/plusother1/status/1299442444279242752,False,,0,,,,,,,,[],,,,
1221349197221433344,1221349197221433344,2020-01-26 17:28:34 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2020-01-26,17:28:34,+0900,1133895364740755457,lulurala11,lulurala💜,,고추장에 고춧가루 🌶 소세지를 듬뿍 넣어 🥩 보글 보글 끓여서 먹자  부대찌개 맛있다  부대찌개송  #BoyWithLuv  #BestMusicVideo  #iHeartAwards @BTS_twt,ko,"[{'screen_name': 'bts_twt', 'name': '방탄소년단', 'id': '335141638'}]",[],[],0,0,0,"['boywithluv', 'bestmusicvideo', 'iheartawards']",[],https://twitter.com/lulurala11/status/1221349197221433344,False,,0,,,,,,,,[],,,,
1120358719902978048,1119975712570560512,2019-04-23 01:08:28 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2019-04-23,01:08:28,+0900,1119966405011501056,yeonhaecheong_s,연해청,,"@LeeSeohwa_H (맥주캔을 그의 앞에 탁, 내려놓고 남은 캔을 따 건배라도 해달라는 듯 손을 내민다. 여즉 열기로 작게 보글거리는 부대찌개가 퍽 먹음직스러워 보여 혀로 입술을 축이다가도 일생각에 머리가 지끈거리기 시작한다.) 아직은.. 조만간 큰 사건 터지면 그땐 꼼짝없이 능력사용도 오버하겠지.",ko,[],[],[],1,0,0,[],[],https://twitter.com/Yeonhaecheong_S/status/1120358719902978048,False,,0,,,,,,,,"[{'screen_name': 'LeeSeohwa_H', 'name': '이서화', 'id': '1119596771817050112'}]",,,,
1094169581709492224,1094158003333255168,2019-02-09 18:42:11 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2019-02-09,18:42:11,+0900,1070868883895025665,bud_ym_closed,closed.,,@Zeta_617 부대찌개 보글중,ko,[],[],[],1,0,0,[],[],https://twitter.com/bud_ym_closed/status/1094169581709492224,False,,0,,,,,,,,"[{'screen_name': 'Zeta_617', 'name': '(비었음)', 'id': '4676720239'}]",,,,
1091381207693049859,1091381207693049859,2019-02-02 02:02:11 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2019-02-02,02:02:11,+0900,855052081475887104,dodoremidodo,REMI,,부대킹찌개 부대찌개 : 보글,ko,[],[],[],0,1,0,[],[],https://twitter.com/dodoremidodo/status/1091381207693049859,False,,0,,,,,,,,[],,,,
1036250117072773121,1036250117072773121,2018-09-02 22:50:55 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã,2018-09-02,22:50:55,+0900,132414389,sagang,violetmari,,이태리 부대찌개 신사점 부대전골 보글~보글~ 맛있는 소리 한번 들어 보실래요? #dicadong  https://t.co/V1XV9BM91v,ko,[],[],[],0,0,0,['dicadong'],[],https://twitter.com/sagang/status/1036250117072773121,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1036250031370588161/pu/img/7pDikXdRRLCDfRAv.jpg,,,,,,,[],,,,
